9.654105736799998340e+03 -1.686326320000090462e+01 -1.583320477985231456e+00 2.769018518099999995e-06 4.020114064400000340e-06 -1.251095546299999922e-06
9.654605736799998340e+03 -1.636326320000090462e+01 -1.541320729160648106e+00 2.895546845499999791e-06 4.254839369700000193e-06 -1.359292524199999978e-06
9.655105736799998340e+03 -1.586326320000090462e+01 -1.498143999845556351e+00 3.033158941699999946e-06 4.516768318799999913e-06 -1.483609377200000041e-06
9.655605736799998340e+03 -1.536326320000090462e+01 -1.453685419341534502e+00 3.183355785700000205e-06 4.810754296799999723e-06 -1.627398511099999942e-06
9.656105736799998340e+03 -1.486326320000090462e+01 -1.407823551635326131e+00 3.347924328500000062e-06 5.142855938399999839e-06 -1.794931610000000063e-06
9.656605736799998340e+03 -1.436326320000090462e+01 -1.360416482799305937e+00 3.529010600599999943e-06 5.520731954799999760e-06 -1.991721354199999816e-06
9.657105736799998340e+03 -1.386326320000090462e+01 -1.311296633414791080e+00 3.729217266999999864e-06 5.954201089699999595e-06 -2.224983822700000154e-06
9.657605736799998340e+03 -1.336326320000090462e+01 -1.260263748164603737e+00 3.951736162800000062e-06 6.456053530399999978e-06 -2.504317367599999916e-06
9.658105736799998340e+03 -1.286326320000090462e+01 -1.207075212681805620e+00 4.200532148799999746e-06 7.043255735400000317e-06 -2.842723586600000148e-06
9.658605736799998340e+03 -1.236326320000090462e+01 -1.151432335486439751e+00 4.480604466800000418e-06 7.738790097800000062e-06 -3.258185630900000205e-06
9.659105736799998340e+03 -1.186326320000090462e+01 -1.092960327430363643e+00 4.798369214299999595e-06 8.574556139200000847e-06 -3.776186924899999982e-06
9.659605736799998340e+03 -1.136326320000090462e+01 -1.031178030928519229e+00 5.162239040599999652e-06 9.596121934000000487e-06 -4.433882893399999988e-06
9.660105736799998340e+03 -1.086326320000090462e+01 -9.654501466168764479e-01 5.583540355500000107e-06 1.087086239000000055e-05 -5.287322034999999752e-06
9.660605736799998340e+03 -1.036326320000090462e+01 -8.949077269391962908e-01 6.078044521700000003e-06 1.250267235500000036e-05 -6.424627833500000086e-06
9.661105736789999355e+03 -9.863263209999889369e+00 -8.183066029874292990e-01 6.668704306399999817e-06 1.466039273399999954e-05 -7.991688427200000275e-06
9.661605736789999355e+03 -9.363263209999889369e+00 -7.337516954840763717e-01 7.390995694900000345e-06 1.763751868899999877e-05 -1.024652299400000026e-05
9.662105736789999355e+03 -8.863263209999889369e+00 -6.380888690133117436e-01 8.304635282300000383e-06 2.199194708999999896e-05 -1.368731180700000039e-05
9.662605736789999355e+03 -8.363263209999889369e+00 -5.252839792832234567e-01 9.523659189900000516e-06 2.892396522300000097e-05 -1.940030603300000144e-05
9.663105736789999355e+03 -7.863263209999888481e+00 -3.803802216526885882e-01 1.131202894800000068e-05 4.152198950600000311e-05 -3.020996055800000073e-05
9.663605736789999355e+03 -7.363263209999888481e+00 -1.159955480071501593e-01 1.447517195900000037e-05 6.997030268499999852e-05 -5.549513072500000121e-05
9.663656999999999243e+03 -7.312000000000000277e+00 0.000000000000000000e+00 1.519141124510491770e-05 7.776900820131394331e-05 -6.257759695459386422e-05
9.663665999999999258e+03 -7.302999999999985725e+00 4.860261953445584038e-02 1.531715743959692185e-05 7.913818406148399073e-05 -6.382102662016391587e-05
9.663694999999999709e+03 -7.273999999999534616e+00 9.986888948025554602e-02 1.572233962184891998e-05 8.354997294425398091e-05 -6.782763332033390612e-05
9.663742999999998574e+03 -7.226000000000669665e+00 1.502407171473840175e-01 1.639298599247292180e-05 9.085224419849398988e-05 -7.445925820337391055e-05
9.663808999999999287e+03 -7.159999999999956621e+00 1.997377789593159370e-01 1.731512475208091836e-05 1.008928671730739582e-04 -8.357774241755388275e-05
9.663894999999998618e+03 -7.074000000000626009e+00 2.499348983886820197e-01 1.851669949944892416e-05 1.139761031702540047e-04 -9.545940366633392908e-05
9.664000000000000000e+03 -6.968999999999243578e+00 3.000443701604951774e-01 1.998373843518891669e-05 1.299498215389039346e-04 -1.099660830979838676e-04
9.664105736789999355e+03 -6.863263209999888481e+00 3.431897124180594005e-01 2.146107165300000064e-05 1.460356282499999903e-04 -1.245745565899999908e-04
