id,pdb_id,dataset,cluster,cluster_color,xas_rel,chir_rel
6rxm_ZN_homo_d2.60_cluster3,6rxm,4cys,10,#8c564b,data/4cys-large/calculated-spectra/6rxm_ZN_homo_d2.60_cluster3/xas-6rxm_ZN_homo_d2.60_cluster3.dat,data/4cys-large/calculated-spectra/6rxm_ZN_homo_d2.60_cluster3/chi-R-6rxm_ZN_homo_d2.60_cluster3.dat
6rxo_ZN_homo_d2.60_cluster2,6rxo,4cys,10,#8c564b,data/4cys-large/calculated-spectra/6rxo_ZN_homo_d2.60_cluster2/xas-6rxo_ZN_homo_d2.60_cluster2.dat,data/4cys-large/calculated-spectra/6rxo_ZN_homo_d2.60_cluster2/chi-R-6rxo_ZN_homo_d2.60_cluster2.dat
6rxp_ZN_homo_d2.60_cluster2,6rxp,4cys,10,#8c564b,data/4cys-large/calculated-spectra/6rxp_ZN_homo_d2.60_cluster2/xas-6rxp_ZN_homo_d2.60_cluster2.dat,data/4cys-large/calculated-spectra/6rxp_ZN_homo_d2.60_cluster2/chi-R-6rxp_ZN_homo_d2.60_cluster2.dat
6s3a_ZN_homo_d2.60_cluster1,6s3a,4cys,16,#bcbd22,data/4cys-large/calculated-spectra/6s3a_ZN_homo_d2.60_cluster1/xas-6s3a_ZN_homo_d2.60_cluster1.dat,data/4cys-large/calculated-spectra/6s3a_ZN_homo_d2.60_cluster1/chi-R-6s3a_ZN_homo_d2.60_cluster1.dat
6w75_ZN_homo_d2.60_cluster2,6w75,4cys,13,#f7b6d2,data/4cys-large/calculated-spectra/6w75_ZN_homo_d2.60_cluster2/xas-6w75_ZN_homo_d2.60_cluster2.dat,data/4cys-large/calculated-spectra/6w75_ZN_homo_d2.60_cluster2/chi-R-6w75_ZN_homo_d2.60_cluster2.dat
6wi7_ZN_homo_d2.60_cluster4,6wi7,4cys,14,#7f7f7f,data/4cys-large/calculated-spectra/6wi7_ZN_homo_d2.60_cluster4/xas-6wi7_ZN_homo_d2.60_cluster4.dat,data/4cys-large/calculated-spectra/6wi7_ZN_homo_d2.60_cluster4/chi-R-6wi7_ZN_homo_d2.60_cluster4.dat
7bah_ZN_homo_d2.60_cluster2,7bah,4cys,6,#d62728,data/4cys-large/calculated-spectra/7bah_ZN_homo_d2.60_cluster2/xas-7bah_ZN_homo_d2.60_cluster2.dat,data/4cys-large/calculated-spectra/7bah_ZN_homo_d2.60_cluster2/chi-R-7bah_ZN_homo_d2.60_cluster2.dat
7d5x_ZN_homo_d2.60_cluster2,7d5x,4cys,6,#d62728,data/4cys-large/calculated-spectra/7d5x_ZN_homo_d2.60_cluster2/xas-7d5x_ZN_homo_d2.60_cluster2.dat,data/4cys-large/calculated-spectra/7d5x_ZN_homo_d2.60_cluster2/chi-R-7d5x_ZN_homo_d2.60_cluster2.dat
7f4e_ZN_homo_d2.60_cluster1,7f4e,4cys,2,#ff7f0e,data/4cys-large/calculated-spectra/7f4e_ZN_homo_d2.60_cluster1/xas-7f4e_ZN_homo_d2.60_cluster1.dat,data/4cys-large/calculated-spectra/7f4e_ZN_homo_d2.60_cluster1/chi-R-7f4e_ZN_homo_d2.60_cluster1.dat
7o2c_ZN_homo_d2.60_cluster1,7o2c,4cys,4,#2ca02c,data/4cys-large/calculated-spectra/7o2c_ZN_homo_d2.60_cluster1/xas-7o2c_ZN_homo_d2.60_cluster1.dat,data/4cys-large/calculated-spectra/7o2c_ZN_homo_d2.60_cluster1/chi-R-7o2c_ZN_homo_d2.60_cluster1.dat
7thu_ZN_homo_d2.60_cluster2,7thu,4cys,6,#d62728,data/4cys-large/calculated-spectra/7thu_ZN_homo_d2.60_cluster2/xas-7thu_ZN_homo_d2.60_cluster2.dat,data/4cys-large/calculated-spectra/7thu_ZN_homo_d2.60_cluster2/chi-R-7thu_ZN_homo_d2.60_cluster2.dat
7udd_ZN_homo_d2.60_cluster2,7udd,4cys,3,#ffbb78,data/4cys-large/calculated-spectra/7udd_ZN_homo_d2.60_cluster2/xas-7udd_ZN_homo_d2.60_cluster2.dat,data/4cys-large/calculated-spectra/7udd_ZN_homo_d2.60_cluster2/chi-R-7udd_ZN_homo_d2.60_cluster2.dat
7uef_ZN_homo_d2.60_cluster4,7uef,4cys,3,#ffbb78,data/4cys-large/calculated-spectra/7uef_ZN_homo_d2.60_cluster4/xas-7uef_ZN_homo_d2.60_cluster4.dat,data/4cys-large/calculated-spectra/7uef_ZN_homo_d2.60_cluster4/chi-R-7uef_ZN_homo_d2.60_cluster4.dat
7utw_ZN_homo_d2.60_cluster1,7utw,4cys,3,#ffbb78,data/4cys-large/calculated-spectra/7utw_ZN_homo_d2.60_cluster1/xas-7utw_ZN_homo_d2.60_cluster1.dat,data/4cys-large/calculated-spectra/7utw_ZN_homo_d2.60_cluster1/chi-R-7utw_ZN_homo_d2.60_cluster1.dat
7x73_ZN_homo_d2.60_cluster1,7x73,4cys,15,#c7c7c7,data/4cys-large/calculated-spectra/7x73_ZN_homo_d2.60_cluster1/xas-7x73_ZN_homo_d2.60_cluster1.dat,data/4cys-large/calculated-spectra/7x73_ZN_homo_d2.60_cluster1/chi-R-7x73_ZN_homo_d2.60_cluster1.dat
7x73_ZN_homo_d2.60_cluster4,7x73,4cys,8,#9467bd,data/4cys-large/calculated-spectra/7x73_ZN_homo_d2.60_cluster4/xas-7x73_ZN_homo_d2.60_cluster4.dat,data/4cys-large/calculated-spectra/7x73_ZN_homo_d2.60_cluster4/chi-R-7x73_ZN_homo_d2.60_cluster4.dat
7y6z_ZN_homo_d2.60_cluster2,7y6z,4cys,11,#c49c94,data/4cys-large/calculated-spectra/7y6z_ZN_homo_d2.60_cluster2/xas-7y6z_ZN_homo_d2.60_cluster2.dat,data/4cys-large/calculated-spectra/7y6z_ZN_homo_d2.60_cluster2/chi-R-7y6z_ZN_homo_d2.60_cluster2.dat
7yh2_ZN_homo_d2.60_cluster1,7yh2,4cys,14,#7f7f7f,data/4cys-large/calculated-spectra/7yh2_ZN_homo_d2.60_cluster1/xas-7yh2_ZN_homo_d2.60_cluster1.dat,data/4cys-large/calculated-spectra/7yh2_ZN_homo_d2.60_cluster1/chi-R-7yh2_ZN_homo_d2.60_cluster1.dat
7yuj_ZN_homo_d2.60_cluster4,7yuj,4cys,20,#1f77b4,data/4cys-large/calculated-spectra/7yuj_ZN_homo_d2.60_cluster4/xas-7yuj_ZN_homo_d2.60_cluster4.dat,data/4cys-large/calculated-spectra/7yuj_ZN_homo_d2.60_cluster4/chi-R-7yuj_ZN_homo_d2.60_cluster4.dat
8ajq_ZN_homo_d2.60_cluster10_altlocLIGB,8ajq,4cys,17,#dbdb8d,data/4cys-large/calculated-spectra/8ajq_ZN_homo_d2.60_cluster10_altlocLIGB/xas-8ajq_ZN_homo_d2.60_cluster10_altlocLIGB.dat,data/4cys-large/calculated-spectra/8ajq_ZN_homo_d2.60_cluster10_altlocLIGB/chi-R-8ajq_ZN_homo_d2.60_cluster10_altlocLIGB.dat
8ajq_ZN_homo_d2.60_cluster15_altlocLIGA,8ajq,4cys,17,#dbdb8d,data/4cys-large/calculated-spectra/8ajq_ZN_homo_d2.60_cluster15_altlocLIGA/xas-8ajq_ZN_homo_d2.60_cluster15_altlocLIGA.dat,data/4cys-large/calculated-spectra/8ajq_ZN_homo_d2.60_cluster15_altlocLIGA/chi-R-8ajq_ZN_homo_d2.60_cluster15_altlocLIGA.dat
8ajq_ZN_homo_d2.60_cluster2_altlocLIGB,8ajq,4cys,17,#dbdb8d,data/4cys-large/calculated-spectra/8ajq_ZN_homo_d2.60_cluster2_altlocLIGB/xas-8ajq_ZN_homo_d2.60_cluster2_altlocLIGB.dat,data/4cys-large/calculated-spectra/8ajq_ZN_homo_d2.60_cluster2_altlocLIGB/chi-R-8ajq_ZN_homo_d2.60_cluster2_altlocLIGB.dat
8ajq_ZN_homo_d2.60_cluster6_altlocLIGA,8ajq,4cys,17,#dbdb8d,data/4cys-large/calculated-spectra/8ajq_ZN_homo_d2.60_cluster6_altlocLIGA/xas-8ajq_ZN_homo_d2.60_cluster6_altlocLIGA.dat,data/4cys-large/calculated-spectra/8ajq_ZN_homo_d2.60_cluster6_altlocLIGA/chi-R-8ajq_ZN_homo_d2.60_cluster6_altlocLIGA.dat
8ak7_ZN_homo_d2.60_cluster1,8ak7,4cys,20,#1f77b4,data/4cys-large/calculated-spectra/8ak7_ZN_homo_d2.60_cluster1/xas-8ak7_ZN_homo_d2.60_cluster1.dat,data/4cys-large/calculated-spectra/8ak7_ZN_homo_d2.60_cluster1/chi-R-8ak7_ZN_homo_d2.60_cluster1.dat
8bc7_ZN_homo_d2.60_cluster3,8bc7,4cys,7,#ff9896,data/4cys-large/calculated-spectra/8bc7_ZN_homo_d2.60_cluster3/xas-8bc7_ZN_homo_d2.60_cluster3.dat,data/4cys-large/calculated-spectra/8bc7_ZN_homo_d2.60_cluster3/chi-R-8bc7_ZN_homo_d2.60_cluster3.dat
