id,pdb_id,dataset,cluster,cluster_color,xas_rel,chir_rel
2o8j_ZN_homo_d2.60_cluster5,2o8j,4cys,15,#c7c7c7,data/4cys-large/calculated-spectra/2o8j_ZN_homo_d2.60_cluster5/xas-2o8j_ZN_homo_d2.60_cluster5.dat,data/4cys-large/calculated-spectra/2o8j_ZN_homo_d2.60_cluster5/chi-R-2o8j_ZN_homo_d2.60_cluster5.dat
3abk_ZN_homo_d2.60_cluster1,3abk,4cys,6,#d62728,data/4cys-large/calculated-spectra/3abk_ZN_homo_d2.60_cluster1/xas-3abk_ZN_homo_d2.60_cluster1.dat,data/4cys-large/calculated-spectra/3abk_ZN_homo_d2.60_cluster1/chi-R-3abk_ZN_homo_d2.60_cluster1.dat
3ag2_ZN_homo_d2.60_cluster1,3ag2,4cys,6,#d62728,data/4cys-large/calculated-spectra/3ag2_ZN_homo_d2.60_cluster1/xas-3ag2_ZN_homo_d2.60_cluster1.dat,data/4cys-large/calculated-spectra/3ag2_ZN_homo_d2.60_cluster1/chi-R-3ag2_ZN_homo_d2.60_cluster1.dat
3cbb_ZN_homo_d2.60_cluster4,3cbb,4cys,16,#bcbd22,data/4cys-large/calculated-spectra/3cbb_ZN_homo_d2.60_cluster4/xas-3cbb_ZN_homo_d2.60_cluster4.dat,data/4cys-large/calculated-spectra/3cbb_ZN_homo_d2.60_cluster4/chi-R-3cbb_ZN_homo_d2.60_cluster4.dat
3cxk_ZN_homo_d2.60_cluster2,3cxk,4cys,6,#d62728,data/4cys-large/calculated-spectra/3cxk_ZN_homo_d2.60_cluster2/xas-3cxk_ZN_homo_d2.60_cluster2.dat,data/4cys-large/calculated-spectra/3cxk_ZN_homo_d2.60_cluster2/chi-R-3cxk_ZN_homo_d2.60_cluster2.dat
3g8u_ZN_homo_d2.60_cluster3,3g8u,4cys,12,#e377c2,data/4cys-large/calculated-spectra/3g8u_ZN_homo_d2.60_cluster3/xas-3g8u_ZN_homo_d2.60_cluster3.dat,data/4cys-large/calculated-spectra/3g8u_ZN_homo_d2.60_cluster3/chi-R-3g8u_ZN_homo_d2.60_cluster3.dat
3g9m_ZN_homo_d2.60_cluster4,3g9m,4cys,16,#bcbd22,data/4cys-large/calculated-spectra/3g9m_ZN_homo_d2.60_cluster4/xas-3g9m_ZN_homo_d2.60_cluster4.dat,data/4cys-large/calculated-spectra/3g9m_ZN_homo_d2.60_cluster4/chi-R-3g9m_ZN_homo_d2.60_cluster4.dat
3g9p_ZN_homo_d2.60_cluster4,3g9p,4cys,16,#bcbd22,data/4cys-large/calculated-spectra/3g9p_ZN_homo_d2.60_cluster4/xas-3g9p_ZN_homo_d2.60_cluster4.dat,data/4cys-large/calculated-spectra/3g9p_ZN_homo_d2.60_cluster4/chi-R-3g9p_ZN_homo_d2.60_cluster4.dat
3gox_ZN_homo_d2.60_cluster1,3gox,4cys,0,#1f77b4,data/4cys-large/calculated-spectra/3gox_ZN_homo_d2.60_cluster1/xas-3gox_ZN_homo_d2.60_cluster1.dat,data/4cys-large/calculated-spectra/3gox_ZN_homo_d2.60_cluster1/chi-R-3gox_ZN_homo_d2.60_cluster1.dat
3hna_ZN_homo_d2.60_cluster3,3hna,4cys,9,#c5b0d5,data/4cys-large/calculated-spectra/3hna_ZN_homo_d2.60_cluster3/xas-3hna_ZN_homo_d2.60_cluster3.dat,data/4cys-large/calculated-spectra/3hna_ZN_homo_d2.60_cluster3/chi-R-3hna_ZN_homo_d2.60_cluster3.dat
3k35_ZN_homo_d2.60_cluster4,3k35,4cys,20,#1f77b4,data/4cys-large/calculated-spectra/3k35_ZN_homo_d2.60_cluster4/xas-3k35_ZN_homo_d2.60_cluster4.dat,data/4cys-large/calculated-spectra/3k35_ZN_homo_d2.60_cluster4/chi-R-3k35_ZN_homo_d2.60_cluster4.dat
3k5k_ZN_homo_d2.60_cluster2,3k5k,4cys,18,#17becf,data/4cys-large/calculated-spectra/3k5k_ZN_homo_d2.60_cluster2/xas-3k5k_ZN_homo_d2.60_cluster2.dat,data/4cys-large/calculated-spectra/3k5k_ZN_homo_d2.60_cluster2/chi-R-3k5k_ZN_homo_d2.60_cluster2.dat
3nil_ZN_homo_d2.60_cluster4,3nil,4cys,11,#c49c94,data/4cys-large/calculated-spectra/3nil_ZN_homo_d2.60_cluster4/xas-3nil_ZN_homo_d2.60_cluster4.dat,data/4cys-large/calculated-spectra/3nil_ZN_homo_d2.60_cluster4/chi-R-3nil_ZN_homo_d2.60_cluster4.dat
3nis_ZN_homo_d2.60_cluster4,3nis,4cys,11,#c49c94,data/4cys-large/calculated-spectra/3nis_ZN_homo_d2.60_cluster4/xas-3nis_ZN_homo_d2.60_cluster4.dat,data/4cys-large/calculated-spectra/3nis_ZN_homo_d2.60_cluster4/chi-R-3nis_ZN_homo_d2.60_cluster4.dat
3pdn_ZN_homo_d2.60_cluster3,3pdn,4cys,4,#2ca02c,data/4cys-large/calculated-spectra/3pdn_ZN_homo_d2.60_cluster3/xas-3pdn_ZN_homo_d2.60_cluster3.dat,data/4cys-large/calculated-spectra/3pdn_ZN_homo_d2.60_cluster3/chi-R-3pdn_ZN_homo_d2.60_cluster3.dat
3rig_ZN_homo_d2.60_cluster2,3rig,4cys,20,#1f77b4,data/4cys-large/calculated-spectra/3rig_ZN_homo_d2.60_cluster2/xas-3rig_ZN_homo_d2.60_cluster2.dat,data/4cys-large/calculated-spectra/3rig_ZN_homo_d2.60_cluster2/chi-R-3rig_ZN_homo_d2.60_cluster2.dat
3v43_ZN_homo_d2.60_cluster1,3v43,4cys,0,#1f77b4,data/4cys-large/calculated-spectra/3v43_ZN_homo_d2.60_cluster1/xas-3v43_ZN_homo_d2.60_cluster1.dat,data/4cys-large/calculated-spectra/3v43_ZN_homo_d2.60_cluster1/chi-R-3v43_ZN_homo_d2.60_cluster1.dat
3vux_ZN_homo_d2.60_cluster3,3vux,4cys,11,#c49c94,data/4cys-large/calculated-spectra/3vux_ZN_homo_d2.60_cluster3/xas-3vux_ZN_homo_d2.60_cluster3.dat,data/4cys-large/calculated-spectra/3vux_ZN_homo_d2.60_cluster3/chi-R-3vux_ZN_homo_d2.60_cluster3.dat
3zpo_ZN_homo_d2.60_cluster1,3zpo,4cys,12,#e377c2,data/4cys-large/calculated-spectra/3zpo_ZN_homo_d2.60_cluster1/xas-3zpo_ZN_homo_d2.60_cluster1.dat,data/4cys-large/calculated-spectra/3zpo_ZN_homo_d2.60_cluster1/chi-R-3zpo_ZN_homo_d2.60_cluster1.dat
