9.653860211599998365e+03 -1.706278840000087627e+01 -1.603541803580142977e+00 2.721522379399999961e-06 3.921106475600000356e-06 -1.199584096199999971e-06
9.654360211599998365e+03 -1.656278840000087627e+01 -1.562085839498581485e+00 2.844354575899999931e-06 4.147664470999999666e-06 -1.303309895099999947e-06
9.654860211599998365e+03 -1.606278840000087627e+01 -1.519499267553268362e+00 2.977831689499999912e-06 4.400254524099999682e-06 -1.422422834599999982e-06
9.655360211599998365e+03 -1.556278840000087804e+01 -1.475684206809793286e+00 3.123382388199999819e-06 4.683491865400000041e-06 -1.560109477300000085e-06
9.655860211599998365e+03 -1.506278840000087804e+01 -1.430527781051727620e+00 3.282705680199999928e-06 5.003132482600000332e-06 -1.720426802399999981e-06
9.656360211599998365e+03 -1.456278840000087804e+01 -1.383898690834596712e+00 3.457839742300000133e-06 5.366445505600000223e-06 -1.908605763300000089e-06
9.656860211599998365e+03 -1.406278840000087804e+01 -1.335642706949220271e+00 3.651253746100000092e-06 5.782740925300000262e-06 -2.131487179200000170e-06
9.657360211599998365e+03 -1.356278840000087804e+01 -1.285576639006625665e+00 3.865972624200000285e-06 6.264133687400000083e-06 -2.398161063300000084e-06
9.657860211599998365e+03 -1.306278840000087804e+01 -1.233480096674649307e+00 4.105750228899999626e-06 6.826677364200000415e-06 -2.720927135299999942e-06
9.658360211599998365e+03 -1.256278840000087804e+01 -1.179083967758629559e+00 4.375315724399999589e-06 7.492093801100000372e-06 -3.116778076600000072e-06
9.658860211599998365e+03 -1.206278840000087804e+01 -1.122053856621135326e+00 4.680734760300000244e-06 8.290498680999999420e-06 -3.609763920799999885e-06
9.659360211599998365e+03 -1.156278840000087804e+01 -1.061965494397672849e+00 5.029958273599999870e-06 9.264861903000000412e-06 -4.234903629399999695e-06
9.659860211599998365e+03 -1.106278840000087804e+01 -9.982667806875198391e-01 5.433694004500000179e-06 1.047864176099999927e-05 -5.044947756099999638e-06
9.660360211599998365e+03 -1.056278840000087804e+01 -9.302163294401766258e-01 5.906868812500000251e-06 1.202957725100000058e-05 -6.122708438999999643e-06
9.660860211599998365e+03 -1.006278840000087804e+01 -8.567778438370624583e-01 6.471259764700000240e-06 1.407631898700000060e-05 -7.605059222699999811e-06
9.661360211559998788e+03 -9.562788440000455026e+00 -7.764239423933532169e-01 7.160674646200000190e-06 1.689433800500000072e-05 -9.733663358399999386e-06
