9.554571863292700073e+03 3.417695478400000105e-06
9.555571863292700073e+03 3.606809103399999892e-06
9.556571863292700073e+03 3.815807042799999627e-06
9.557571863292700073e+03 4.047887523499999717e-06
9.558571863292700073e+03 4.306962267799999788e-06
9.559571863292700073e+03 4.597865802400000181e-06
9.560571863292700073e+03 4.926642958800000337e-06
9.561571863292700073e+03 5.300951016099999780e-06
9.562571863292700073e+03 5.730633874999999985e-06
9.563571863292700073e+03 6.228561297200000218e-06
9.564571863292700073e+03 6.811889200400000036e-06
9.565071863292700073e+03 7.142571122699999972e-06
9.565571863292700073e+03 7.504013022100000368e-06
9.566071863292700073e+03 7.900626588599999703e-06
9.566571863292700073e+03 8.337711026699999670e-06
9.567071863292700073e+03 8.821691038899999251e-06
9.567571863292700073e+03 9.360437260699999297e-06
9.568071863292700073e+03 9.963705295400000550e-06
9.568571863292700073e+03 1.064374925599999937e-05
9.569071863252700496e+03 1.141619871200000048e-05
9.569571863252700496e+03 1.230134567600000038e-05
9.570071863252700496e+03 1.332609015699999996e-05
9.570571863252700496e+03 1.452698950999999942e-05
9.571071863252700496e+03 1.595523987299999857e-05
9.571571863252700496e+03 1.768522449399999980e-05
9.572071863252700496e+03 1.983004124999999937e-05
9.572571863252700496e+03 2.257151107000000121e-05
9.573071863252700496e+03 2.622132207600000003e-05
9.573571863252700496e+03 3.134316705600000250e-05
9.574071863252700496e+03 3.890338753399999743e-05
9.574571863252700496e+03 4.987792137500000162e-05
9.575071863252700496e+03 6.324975450900000051e-05
9.575571863252700496e+03 7.809663786400000132e-05
9.576071863252700496e+03 9.614499518000000516e-05
9.576571863252700496e+03 1.194025875199999963e-04
9.577071863252700496e+03 1.490598677299999927e-04
9.577571863252700496e+03 1.846203384599999942e-04
9.578071863255700009e+03 2.231596297100000008e-04
9.578571863255700009e+03 2.601236334400000138e-04
9.579071863255900098e+03 2.914935322699999760e-04
9.579571863255700009e+03 3.157365453300000160e-04
9.580071863252700496e+03 3.332765516399999813e-04
9.580571863252700496e+03 3.447588848800000249e-04
9.581071863252700496e+03 3.505302853300000174e-04
9.581571863252700496e+03 3.517131434299999989e-04
9.582071863252700496e+03 3.503068760700000085e-04
9.582571863252700496e+03 3.483620427400000255e-04
9.583071863252700496e+03 3.469067370299999805e-04
9.583571863252700496e+03 3.459010378099999978e-04
9.584071863252700496e+03 3.443092676400000057e-04
9.584571863252700496e+03 3.407752020500000247e-04
9.585198638892699819e+03 3.325321650099999880e-04
9.585844464462699761e+03 3.205148506500000256e-04
9.586509339942700535e+03 3.074923321500000256e-04
9.587193265342699306e+03 2.971768518700000118e-04
9.587896240662699711e+03 2.912829893999999923e-04
9.588618265902699932e+03 2.869174998800000007e-04
9.589359341092700561e+03 2.825579333000000125e-04
9.590119466192700202e+03 2.782316226199999768e-04
9.590898641192699870e+03 2.742916290800000265e-04
9.591696866092699565e+03 2.708633708000000103e-04
9.592514140892699288e+03 2.678827810799999892e-04
9.593350465692699800e+03 2.651435881399999916e-04
9.594205840392700338e+03 2.623523566499999906e-04
9.595080264992700904e+03 2.593227899899999927e-04
9.595973739492699679e+03 2.560384106000000086e-04
9.596886263892700299e+03 2.524419850399999845e-04
9.597817838292699889e+03 2.485494134500000206e-04
9.598768462592699507e+03 2.444102391399999839e-04
9.599738136792699152e+03 2.400244946099999884e-04
9.600726860892700643e+03 2.353613559400000068e-04
9.601734634992699284e+03 2.302833927800000029e-04
9.602761458892700830e+03 2.246756963400000110e-04
9.603807332792699526e+03 2.185020993100000050e-04
