9.554552816400500888e+03 3.421568774699999891e-06
9.555552816400500888e+03 3.610893364799999838e-06
9.556552816400500888e+03 3.820139952600000174e-06
9.557552816400500888e+03 4.052515856499999820e-06
9.558552816400500888e+03 4.311944590100000211e-06
9.559552816400500888e+03 4.603276136499999608e-06
9.560552816400500888e+03 4.932575821999999755e-06
9.561552816400500888e+03 5.307528447500000126e-06
9.562552816400500888e+03 5.738015392099999743e-06
9.563552816400500888e+03 6.236958258900000193e-06
9.564552816400500888e+03 6.821585958799999890e-06
9.565052816400500888e+03 7.153055533200000273e-06
9.565552816400500888e+03 7.515398843600000244e-06
9.566052816400500888e+03 7.913048568199999177e-06
9.566552816400500888e+03 8.351329731499999680e-06
9.567052816400500888e+03 8.836699087200000784e-06
9.567552816400500888e+03 9.377067475799999156e-06
9.568052816400500888e+03 9.982241565300000238e-06
9.568552816400500888e+03 1.066454131400000071e-05
9.569052816400500888e+03 1.143968287400000027e-05
9.569552816400500888e+03 1.232807454199999994e-05
9.570052816400500888e+03 1.335677788699999968e-05
9.570552816400500888e+03 1.456258337400000017e-05
9.571052816400500888e+03 1.599704122399999909e-05
9.571552816400500888e+03 1.773510817299999887e-05
9.572052816400500888e+03 1.989088525299999850e-05
9.572552816400500888e+03 2.264810268900000080e-05
9.573052816400500888e+03 2.632236171299999925e-05
9.573552816400500888e+03 3.148539134499999954e-05
9.574052816400500888e+03 3.911463769300000011e-05
9.574552816400500888e+03 5.015799216600000046e-05
9.575052816400500888e+03 6.345602234699999336e-05
9.575552816400500888e+03 7.795948544399999717e-05
9.576052816400500888e+03 9.546620718400000152e-05
9.576552816400500888e+03 1.182510017300000035e-04
9.577052816400500888e+03 1.480896375199999913e-04
9.577552816400500888e+03 1.852604245900000115e-04
9.578052816400500888e+03 2.270753438800000000e-04
9.578552816398499999e+03 2.678805715099999863e-04
9.579052816398199866e+03 3.020354780099999948e-04
9.579552816398499999e+03 3.269574694999999743e-04
9.580052816398499999e+03 3.423935927299999829e-04
9.580552816400500888e+03 3.489266483400000132e-04
9.581052816400500888e+03 3.482744921999999751e-04
9.581552816400500888e+03 3.437429307899999968e-04
9.582052816400500888e+03 3.387667095600000052e-04
9.582552816400500888e+03 3.356525932000000031e-04
9.583052816400500888e+03 3.351051573699999906e-04
9.583552816400500888e+03 3.366055446400000040e-04
9.584052816400500888e+03 3.385563557600000206e-04
9.584552816400500888e+03 3.388934485100000230e-04
9.585179592040500211e+03 3.344457399299999756e-04
9.585825417600499350e+03 3.235501976300000156e-04
9.586490293080500123e+03 3.084899111100000073e-04
9.587174218480500713e+03 2.959528229700000238e-04
9.587877193800499299e+03 2.889208888599999994e-04
9.588599219050500324e+03 2.843127119800000196e-04
9.589340294200499557e+03 2.802328494800000107e-04
9.590100419300499198e+03 2.765880140300000099e-04
9.590879594300500685e+03 2.735390522000000170e-04
9.591677819200500380e+03 2.711123600399999861e-04
9.592495094100500864e+03 2.692373454799999928e-04
9.593331418800500614e+03 2.676494473600000219e-04
9.594186793500499334e+03 2.658786597500000111e-04
9.595061218100499900e+03 2.635178056299999991e-04
9.595954692600500493e+03 2.604075467300000202e-04
9.596867217100500056e+03 2.564903042499999826e-04
9.597798791400500704e+03 2.519118216900000117e-04
9.598749415700500322e+03 2.468699622699999942e-04
9.599719089900499966e+03 2.415275403499999945e-04
9.600707814000499638e+03 2.359544880100000025e-04
9.601715588100500099e+03 2.301050611700000074e-04
9.602742412100500587e+03 2.238752559199999885e-04
9.603788285900500341e+03 2.172328350000000074e-04
9.604853209700500884e+03 2.102678416899999897e-04
9.605937183500500396e+03 2.032341406199999914e-04
9.607040207100499174e+03 1.965550664200000112e-04
9.608162280700500560e+03 1.907011135899999981e-04
9.609303404200500154e+03 1.860980673399999967e-04
9.610463577600499775e+03 1.830166615100000001e-04
9.611642800900499424e+03 1.815463301300000102e-04
9.612841074100499100e+03 1.816238524100000128e-04
9.614058397300499564e+03 1.831014186900000091e-04
9.615294770400500056e+03 1.857426107100000113e-04
9.616550193400500575e+03 1.892918437600000071e-04
9.617824666300499302e+03 1.935064356599999920e-04
9.619118189200500638e+03 1.981270744000000045e-04
9.620430761900499419e+03 2.029412380400000043e-04
9.621762384600500809e+03 2.077785031199999956e-04
9.623113057200500407e+03 2.124897719399999906e-04
9.624482779800500793e+03 2.169758663200000055e-04
9.625871552200500446e+03 2.211509896199999965e-04
9.627279374600500887e+03 2.249561620199999883e-04
9.628706246900499536e+03 2.283555612900000113e-04
9.630152169100500032e+03 2.313535771199999884e-04
9.631617141200500555e+03 2.339352022400000041e-04
9.633101163200499286e+03 2.361454761100000000e-04
9.634604235200500625e+03 2.380067513600000128e-04
9.636126357100500172e+03 2.395601203099999895e-04
9.637667528900499747e+03 2.408171491599999932e-04
9.639227750600499348e+03 2.417831602099999963e-04
9.640807022300499739e+03 2.424171359000000005e-04
9.642405343800499395e+03 2.426793013799999886e-04
9.644022715300499840e+03 2.424866125399999868e-04
9.645659136700500312e+03 2.417828115899999951e-04
9.647314608100499754e+03 2.405251409700000014e-04
9.648989129300500281e+03 2.387368402500000028e-04
9.650682700500499777e+03 2.365156644999999956e-04
9.652395321600499301e+03 2.340149462500000130e-04
9.654126992600500671e+03 2.314511286800000089e-04
9.655877713500500249e+03 2.290377975499999967e-04
9.657647484400500616e+03 2.269755599600000004e-04
9.659436305100500249e+03 2.254191345999999872e-04
9.661244175800500670e+03 2.244561106999999958e-04
9.663071096400499300e+03 2.241256795700000040e-04
9.664917067000500538e+03 2.243980383799999993e-04
9.666782087400499222e+03 2.252158508200000021e-04
9.668666157800500514e+03 2.264860099600000010e-04
9.670569278100500014e+03 2.281042117699999972e-04
9.672491448300499542e+03 2.299730161299999933e-04
9.674432668400499097e+03 2.319905037999999884e-04
9.676392938500499440e+03 2.340792951500000006e-04
9.678372258500499811e+03 2.361676085300000081e-04
9.680370628500499151e+03 2.382100228400000036e-04
9.682388048500499281e+03 2.401687373600000118e-04
9.684424517500499860e+03 2.420132428999999881e-04
9.686480037500499748e+03 2.437192211299999875e-04
9.688554607500500424e+03 2.452513251000000213e-04
9.690648226500499732e+03 2.465707606399999800e-04
9.692760896500500166e+03 2.476448078999999810e-04
9.694892615500499232e+03 2.484213266699999956e-04
9.697043384500500906e+03 2.488577779999999874e-04
9.699213203500499731e+03 2.489108917999999769e-04
9.701402072500499344e+03 2.485542250199999806e-04
9.703609991500499746e+03 2.477709080399999840e-04
9.705836960500499117e+03 2.465767971599999893e-04
9.708082979500499277e+03 2.449970103499999902e-04
9.710348048500500227e+03 2.430968628200000088e-04
9.712632167500500145e+03 2.408844970999999906e-04
